Sequence No	Turboveg No	Group No	Relevé number	TV2 relevé number	Country	DEG_LON	DEG_LAT	cryptogams	
1	1591	1	1591	003203388	Austria	13.02545	46.84183	6	
2	1437	1	1437	003100758	Austria	13.02545	46.84183	6	
3	1193	1	1193	003100059	Austria	12.98709	46.64299	6	
4	1118	1	1118	003057116	Austria	12.95833	47.725	6	
5	1589	1	1589	003203380	Austria	12.98709	46.64299	6	
6	1592	1	1592	003203390	Austria	13.02296	47.21463	10	
7	1439	1	1439	003100760	Austria	13.02296	47.21463	10	
8	1441	1	1441	003100763	Austria	13.06301	46.91607	5	
9	1440	1	1440	003100762	Austria	13.05851	46.89335	8	
10	1594	1	1594	003203396	Austria	13.06301	46.91607	5	
11	1443	1	1443	003100765	Austria	13.09435	46.79364	6	
12	1597	1	1597	003203402	Austria	13.09435	46.79364	6	
13	1593	1	1593	003203394	Austria	13.05851	46.89335	8	
14	1595	1	1595	003203397	Austria	13.05808	46.96851	6	
15	1442	1	1442	003100764	Austria	13.05808	46.96851	6	
16	1134	1	1134	003057132	Austria	12.95833	47.725	7	
17	1148	1	1148	003057146	Austria	12.95833	47.725	3	
18	344	1	344	003016095	Austria	12.95833	47.725	4	
19	1092	1	1092	003057090	Austria	12.95833	47.725	12	
20	1091	1	1091	003057089	Austria	12.95833	47.725	9	
21	1107	1	1107	003057105	Austria	12.95833	47.725	2	
22	1150	1	1150	003057148	Austria	12.95833	47.725	3	
23	1116	1	1116	003057114	Austria	12.95833	47.725	7	
24	1128	1	1128	003057126	Austria	12.95833	47.725	8	
25	1124	1	1124	003057122	Austria	12.95833	47.725	9	
26	1095	1	1095	003057093	Austria	12.95833	47.725	6	
27	1093	1	1093	003057091	Austria	12.95833	47.725	17	
28	1103	1	1103	003057101	Austria	12.95833	47.725	7	
29	1090	1	1090	003057088	Austria	12.95833	47.725	9	
30	1100	1	1100	003057098	Austria	12.95833	47.725	7	
31	1111	1	1111	003057109	Austria	12.95833	47.725	8	
32	1105	1	1105	003057103	Austria	12.95833	47.725	3	
33	1140	1	1140	003057138	Austria	12.95833	47.725	4	
34	342	1	342	003016092	Austria	12.95833	47.725	2	
35	1115	1	1115	003057113	Austria	12.95833	47.725	6	
36	1087	1	1087	003057085	Austria	12.95833	47.725	6	
37	1013	1	1013	003050047	Austria	13.125	47.825	3	
38	1006	1	1006	003050040	Austria	13.125	47.825	1	
39	1022	1	1022	003050057	Austria	13.125	47.825	2	
40	1195	1	1195	003100072	Austria	13.1344	46.62016	3	
41	1019	1	1019	003050053	Austria	13.125	47.825	3	
42	1014	1	1014	003050048	Austria	13.125	47.825	1	
43	1009	1	1009	003050043	Austria	13.125	47.825	4	
44	1023	1	1023	003050058	Austria	13.125	47.825	1	
45	1017	1	1017	003050051	Austria	13.125	47.825	2	
46	333	1	333	003016002	Austria	13.125	47.825	1	
47	1018	1	1018	003050052	Austria	13.125	47.825	3	
48	1456	1	1456	003100784	Austria	13.16377	47.11543	7	
49	1446	1	1446	003100773	Austria	13.166	46.9183	4	
50	1455	1	1455	003100783	Austria	13.16568	47.11372	8	
51	1601	1	1601	003203419	Austria	13.166	46.9183	4	
52	1604	1	1604	003203422	Austria	13.16686	46.96678	3	
53	1449	1	1449	003100776	Austria	13.16686	46.96678	3	
54	1610	1	1610	003203429	Austria	13.16568	47.11372	8	
55	1606	1	1606	003203425	Austria	13.1644	47.06503	8	
56	1611	1	1611	003203430	Austria	13.16377	47.11543	7	
57	1451	1	1451	003100779	Austria	13.1644	47.06503	8	
58	1452	1	1452	003100780	Austria	13.1649	47.06708	5	
59	1607	1	1607	003203426	Austria	13.1649	47.06708	5	
60	334	1	334	003016003	Austria	13.125	47.825	3	
61	509	1	509	003016766	Austria	13.125	47.425	15	
62	1003	1	1003	003050037	Austria	13.125	47.825	2	
63	1015	1	1015	003050049	Austria	13.125	47.825	3	
64	1016	1	1016	003050050	Austria	13.125	47.825	2	
65	1025	1	1025	003050060	Austria	13.125	47.825	1	
66	508	1	508	003016765	Austria	13.125	47.425	6	
67	1004	1	1004	003050038	Austria	13.125	47.825	4	
68	1026	1	1026	003050061	Austria	13.125	47.825	1	
69	1008	1	1008	003050042	Austria	13.125	47.825	4	
70	1020	1	1020	003050054	Austria	13.125	47.825	3	
71	1024	1	1024	003050059	Austria	13.125	47.825	2	
72	512	1	512	003016769	Austria	13.125	47.425	4	
73	1010	1	1010	003050044	Austria	13.125	47.825	2	
74	1011	1	1011	003050045	Austria	13.125	47.825	3	
75	335	1	335	003016005	Austria	13.125	47.825	2	
76	511	1	511	003016768	Austria	13.125	47.425	10	
77	1002	1	1002	003050036	Austria	13.125	47.825	2	
78	1012	1	1012	003050046	Austria	13.125	47.825	3	
79	1005	1	1005	003050039	Austria	13.125	47.825	2	
80	1007	1	1007	003050041	Austria	13.125	47.825	3	
81	1021	1	1021	003050056	Austria	13.125	47.825	2	
82	510	1	510	003016767	Austria	13.125	47.425	0	
83	1426	1	1426	003100743	Austria	12.8455	46.86775	4	
84	1192	1	1192	003100053	Austria	12.83797	47.23784	2	
85	1578	1	1578	003203351	Austria	12.8455	46.86775	4	
86	2381	1	2381	003417859	Austria	12.84947	47.19727	2	
87	1571	1	1571	003203334	Austria	12.80873	46.7164	1	
88	1572	1	1572	003203337	Austria	12.80851	46.7183	1	
89	1423	1	1423	003100739	Austria	12.80851	46.7183	1	
90	1569	1	1569	003203332	Austria	12.80872	46.66647	3	
91	1422	1	1422	003100737	Austria	12.80873	46.7164	1	
92	1420	1	1420	003100735	Austria	12.80872	46.66647	3	
93	1579	1	1579	003203356	Austria	12.87827	46.89048	5	
94	1580	1	1580	003203362	Austria	12.91576	46.89123	6	
95	206	1	206	003015654	Austria	12.91542	46.69171	3	
96	1428	1	1428	003100746	Austria	12.91576	46.89123	6	
97	1429	1	1429	003100747	Austria	12.91596	46.89469	7	
98	1581	1	1581	003203364	Austria	12.91596	46.89469	7	
99	1245	1	1245	003100324	Austria	12.91542	46.69171	3	
100	1432	1	1432	003100751	Austria	12.91253	46.98974	3	
101	1427	1	1427	003100745	Austria	12.87827	46.89048	5	
102	1584	1	1584	003203368	Austria	12.91253	46.98974	3	
103	1431	1	1431	003100750	Austria	12.91521	46.94103	5	
104	1583	1	1583	003203367	Austria	12.91521	46.94103	5	
105	1573	1	1573	003203338	Austria	12.80815	46.7919	7	
106	1416	1	1416	003100723	Austria	12.66259	46.89201	6	
107	1566	1	1566	003203307	Austria	12.66259	46.89201	6	
108	1568	1	1568	003203324	Austria	12.73354	46.86631	4	
109	1418	1	1418	003100726	Austria	12.73372	46.86464	4	
110	1419	1	1419	003100727	Austria	12.73354	46.86631	4	
111	2278	1	2278	003413238	Austria	12.64878	47.38413	0	
112	1413	1	1413	003100720	Austria	12.62633	46.89169	7	
113	1414	1	1414	003100721	Austria	12.62621	46.91588	4	
114	1564	1	1564	003203300	Austria	12.62633	46.89169	7	
115	2279	1	2279	003413240	Austria	12.64662	47.38241	4	
116	1415	1	1415	003100722	Austria	12.62678	47.01399	5	
117	1567	1	1567	003203323	Austria	12.73372	46.86464	4	
118	1574	1	1574	003203339	Austria	12.80646	46.79314	3	
119	1424	1	1424	003100740	Austria	12.80646	46.79314	3	
120	1575	1	1575	003203342	Austria	12.80726	47.13886	2	
121	1190	1	1190	003100051	Austria	12.80815	46.7919	7	
122	1425	1	1425	003100741	Austria	12.80726	47.13886	2	
123	1570	1	1570	003203333	Austria	12.80606	46.66914	5	
124	2085	1	2085	003405829	Austria	12.79473	47.13853	1	
125	346	1	346	003016118	Austria	12.79167	47.475	3	
126	1576	1	1576	003203343	Austria	12.80332	47.45867	4	
127	1421	1	1421	003100736	Austria	12.80606	46.66914	5	
128	1191	1	1191	003100052	Austria	12.80332	47.45867	4	
129	1145	1	1145	003057143	Austria	12.95833	47.725	4	
130	1112	1	1112	003057110	Austria	12.95833	47.725	11	
131	1099	1	1099	003057097	Austria	12.95833	47.725	7	
132	1146	1	1146	003057144	Austria	12.95833	47.725	6	
133	689	1	689	003019206	Austria	12.95833	47.725	2	
134	1098	1	1098	003057096	Austria	12.95833	47.725	6	
135	1088	1	1088	003057086	Austria	12.95833	47.725	7	
136	1117	1	1117	003057115	Austria	12.95833	47.725	5	
137	1106	1	1106	003057104	Austria	12.95833	47.725	4	
138	1127	1	1127	003057125	Austria	12.95833	47.725	11	
139	1132	1	1132	003057130	Austria	12.95833	47.725	8	
140	1120	1	1120	003057118	Austria	12.95833	47.725	6	
141	1119	1	1119	003057117	Austria	12.95833	47.725	8	
142	1151	1	1151	003057149	Austria	12.95833	47.725	5	
143	1121	1	1121	003057119	Austria	12.95833	47.725	8	
144	1114	1	1114	003057112	Austria	12.95833	47.725	7	
145	1141	1	1141	003057139	Austria	12.95833	47.725	4	
146	1138	1	1138	003057136	Austria	12.95833	47.725	9	
147	1139	1	1139	003057137	Austria	12.95833	47.725	6	
148	1586	1	1586	003203377	Austria	12.95155	46.91497	3	
149	1436	1	1436	003100756	Austria	12.9514	46.91584	3	
150	1434	1	1434	003100754	Austria	12.95155	46.91497	3	
151	1433	1	1433	003100752	Austria	12.95173	46.7936	4	
152	1585	1	1585	003203375	Austria	12.95173	46.7936	4	
153	1588	1	1588	003203379	Austria	12.9514	46.91584	3	
154	1430	1	1430	003100748	Austria	12.91732	46.89283	3	
155	1582	1	1582	003203365	Austria	12.91732	46.89283	3	
156	2380	1	2380	003417858	Austria	12.92181	47.26957	2	
157	1587	1	1587	003203378	Austria	12.94878	46.9159	4	
158	1435	1	1435	003100755	Austria	12.94878	46.9159	4	
159	1122	1	1122	003057120	Austria	12.95833	47.725	13	
160	1149	1	1149	003057147	Austria	12.95833	47.725	6	
161	1104	1	1104	003057102	Austria	12.95833	47.725	4	
162	1129	1	1129	003057127	Austria	12.95833	47.725	7	
163	1137	1	1137	003057135	Austria	12.95833	47.725	6	
164	1094	1	1094	003057092	Austria	12.95833	47.725	5	
165	1102	1	1102	003057100	Austria	12.95833	47.725	7	
166	1109	1	1109	003057107	Austria	12.95833	47.725	4	
167	1125	1	1125	003057123	Austria	12.95833	47.725	4	
168	1147	1	1147	003057145	Austria	12.95833	47.725	2	
169	1089	1	1089	003057087	Austria	12.95833	47.725	9	
170	1135	1	1135	003057133	Austria	12.95833	47.725	6	
171	526	1	526	003016837	Austria	13.625	48.525	6	
172	608	1	608	003017129	Austria	13.625	47.825	1	
173	2220	1	2220	003409026	Austria	13.62608	47.57741	3	
174	1922	1	1922	003205477	Austria	13.625	48.475	0	
175	603	1	603	003017106	Austria	13.625	47.775	1	
176	1643	1	1643	003203539	Austria	13.60024	46.54742	7	
177	1478	1	1478	003100818	Austria	13.60024	46.54742	7	
178	1046	1	1046	003050763	Austria	13.625	47.525	0	
179	583	1	583	003016976	Austria	13.625	47.525	0	
180	1044	1	1044	003050761	Austria	13.625	47.525	0	
181	2219	1	2219	003409025	Austria	13.62608	47.57741	1	
182	1647	1	1647	003203551	Austria	13.67531	46.86687	3	
183	1479	1	1479	003100822	Austria	13.67531	46.86687	3	
184	2207	1	2207	003408589	Austria	13.70792	47.62174	5	
185	1045	1	1045	003050762	Austria	13.70833	47.525	0	
186	1050	1	1050	003050767	Austria	13.70833	47.525	0	
187	2646	1	2646	003435764	Austria	13.66278	47.62926	0	
188	2218	1	2218	003409023	Austria	13.63161	47.57858	6	
189	2217	1	2217	003409021	Austria	13.63161	47.57858	4	
190	2215	1	2215	003408686	Austria	13.64981	46.74475	10	
191	2644	1	2644	003435754	Austria	13.66205	47.62949	0	
