rowname,geometry,selected
1591,"c(13.02545, 46.84183)",FALSE
1437,"c(13.02545, 46.84183)",TRUE
1193,"c(12.98709, 46.64299)",TRUE
1589,"c(12.98709, 46.64299)",FALSE
1148,"c(12.95833, 47.725)",FALSE
1095,"c(12.95833, 47.725)",TRUE
1100,"c(12.95833, 47.725)",TRUE
1013,"c(13.125, 47.825)",FALSE
1019,"c(13.125, 47.825)",FALSE
1009,"c(13.125, 47.825)",TRUE
1017,"c(13.125, 47.825)",FALSE
1018,"c(13.125, 47.825)",TRUE
334,"c(13.125, 47.825)",FALSE
509,"c(13.125, 47.425)",FALSE
1003,"c(13.125, 47.825)",FALSE
1016,"c(13.125, 47.825)",TRUE
1025,"c(13.125, 47.825)",FALSE
508,"c(13.125, 47.425)",TRUE
512,"c(13.125, 47.425)",TRUE
1010,"c(13.125, 47.825)",FALSE
1011,"c(13.125, 47.825)",TRUE
511,"c(13.125, 47.425)",TRUE
1012,"c(13.125, 47.825)",TRUE
1005,"c(13.125, 47.825)",TRUE
1021,"c(13.125, 47.825)",TRUE
510,"c(13.125, 47.425)",TRUE
1192,"c(12.83797, 47.23784)",TRUE
1573,"c(12.80815, 46.7919)",TRUE
1190,"c(12.80815, 46.7919)",FALSE
1099,"c(12.95833, 47.725)",TRUE
1146,"c(12.95833, 47.725)",TRUE
1046,"c(13.625, 47.525)",TRUE
583,"c(13.625, 47.525)",TRUE
1050,"c(13.70833, 47.525)",TRUE
2048,"c(13.45833, 47.775)",TRUE
2047,"c(13.45833, 47.775)",TRUE
2045,"c(13.45833, 47.775)",TRUE
1030,"c(13.54167, 47.525)",TRUE
1029,"c(13.54167, 47.525)",TRUE
1054,"c(13.54167, 47.525)",TRUE
1052,"c(13.54167, 47.525)",TRUE
1218,"c(13.86197, 47.87973)",FALSE
191,"c(13.86197, 47.87973)",TRUE
1042,"c(13.70833, 47.575)",TRUE
576,"c(13.70833, 47.525)",FALSE
1048,"c(13.70833, 47.575)",FALSE
587,"c(13.70833, 47.525)",FALSE
2339,"c(13.80787, 47.44816)",TRUE
1203,"c(13.27543, 47.5849)",TRUE
1622,"c(13.27349, 46.69532)",TRUE
1462,"c(13.27349, 46.69532)",FALSE
1199,"c(13.20203, 47.31276)",TRUE
1616,"c(13.20203, 47.31276)",FALSE
1209,"c(13.42341, 47.78239)",FALSE
184,"c(13.42341, 47.78239)",TRUE
2322,"c(13.37027, 47.6336)",TRUE
596,"c(10.70833, 47.475)",TRUE
1309,"c(10.4928, 46.93112)",TRUE
1646,"c(10.4928, 46.93112)",FALSE
1807,"c(10.79167, 47.375)",TRUE
1808,"c(10.875, 47.375)",TRUE
164,"c(9.87077, 47.11225)",FALSE
1174,"c(9.87077, 47.11225)",TRUE
410,"c(9.70833, 47.175)",TRUE
409,"c(9.70833, 47.175)",TRUE
1737,"c(9.72885, 47.08407)",TRUE
1279,"c(9.72885, 47.08407)",FALSE
360,"c(9.95833, 47.225)",TRUE
362,"c(9.95833, 47.225)",TRUE
370,"c(9.95833, 47.225)",TRUE
1554,"c(12.55582, 46.74197)",TRUE
1404,"c(12.55582, 46.74197)",FALSE
1364,"c(11.50309, 47.02549)",FALSE
1739,"c(11.50309, 47.02549)",TRUE
1369,"c(11.60168, 47.35005)",FALSE
1741,"c(11.60168, 47.35005)",TRUE
1371,"c(11.77781, 47.49847)",TRUE
562,"c(15.375, 47.775)",TRUE
1863,"c(15.45833, 47.175)",TRUE
70,"c(15.375, 47.625)",TRUE
2252,"c(15.20833, 47.675)",TRUE
2248,"c(15.20833, 47.675)",TRUE
2246,"c(15.25656, 47.69028)",TRUE
2242,"c(15.21922, 47.67368)",TRUE
67,"c(15.29167, 47.625)",TRUE
1874,"c(15.45833, 47.175)",TRUE
1878,"c(15.45833, 47.375)",TRUE
1868,"c(15.45833, 47.375)",TRUE
92,"c(15.45833, 47.175)",TRUE
1870,"c(15.45833, 47.375)",TRUE
1869,"c(15.45833, 47.375)",TRUE
1871,"c(15.45833, 47.375)",TRUE
1865,"c(15.45833, 47.175)",TRUE
1862,"c(15.45833, 47.175)",TRUE
1861,"c(15.45833, 47.375)",TRUE
1866,"c(15.45833, 47.175)",TRUE
77,"c(15.45833, 47.675)",TRUE
1990,"c(15.04167, 47.525)",TRUE
2004,"c(15.04167, 47.525)",TRUE
2253,"c(14.97559, 47.59354)",TRUE
2002,"c(15.04167, 47.525)",FALSE
502,"c(15.04167, 47.825)",TRUE
450,"c(15.125, 47.825)",TRUE
22,"c(15.125, 47.775)",TRUE
20,"c(15.125, 47.775)",TRUE
2006,"c(15.04167, 47.525)",TRUE
1992,"c(15.04167, 47.525)",TRUE
16,"c(15.125, 47.775)",TRUE
45,"c(15.79167, 47.725)",TRUE
2240,"c(15.77565, 47.71682)",TRUE
2237,"c(15.70833, 47.725)",TRUE
39,"c(15.79167, 47.775)",TRUE
46,"c(15.79167, 47.725)",TRUE
2238,"c(15.70833, 47.725)",TRUE
1961,"c(15.625, 47.625)",TRUE
2262,"c(15.625, 47.675)",TRUE
59,"c(15.70833, 47.575)",TRUE
2233,"c(15.70833, 47.725)",TRUE
60,"c(15.70833, 47.575)",TRUE
482,"c(15.70833, 47.675)",TRUE
2236,"c(15.70833, 47.725)",TRUE
2234,"c(15.70833, 47.725)",TRUE
2270,"c(15.69894, 47.72849)",TRUE
565,"c(15.875, 47.725)",TRUE
51,"c(15.875, 47.775)",TRUE
452,"c(15.875, 47.775)",TRUE
1718,"c(15.58537, 47.73672)",TRUE
1236,"c(15.58537, 47.73672)",FALSE
2258,"c(15.55314, 47.72952)",TRUE
1851,"c(15.625, 47.275)",TRUE
31,"c(15.625, 47.725)",TRUE
1826,"c(15.625, 47.325)",TRUE
1962,"c(15.625, 47.625)",TRUE
1963,"c(15.625, 47.625)",TRUE
1852,"c(15.625, 47.275)",TRUE
36363,"c(14.33, 47.65)",TRUE
298,"c(14.54167, 47.675)",TRUE
969,"c(14.54167, 47.675)",TRUE
970,"c(14.54167, 47.675)",TRUE
979,"c(14.54167, 47.675)",TRUE
263,"c(14.54167, 47.675)",TRUE
985,"c(14.54167, 47.675)",TRUE
1075,"c(14.54167, 47.825)",TRUE
286,"c(14.54167, 47.675)",TRUE
1083,"c(14.54167, 47.825)",TRUE
980,"c(14.54167, 47.675)",TRUE
313,"c(14.54167, 47.675)",TRUE
992,"c(14.54167, 47.675)",FALSE
314,"c(14.54167, 47.675)",TRUE
2352,"c(13.98625, 47.53062)",FALSE
2351,"c(13.98017, 47.49716)",TRUE
2343,"c(14.05266, 47.52863)",TRUE
2342,"c(14.05753, 47.52545)",TRUE
2353,"c(13.97357, 47.52391)",TRUE
1220,"c(13.92981, 47.48409)",TRUE
193,"c(13.92981, 47.48409)",FALSE
1793,"c(14.29167, 47.775)",TRUE
1795,"c(14.29167, 47.825)",TRUE
1796,"c(14.29167, 47.775)",TRUE
1522,"c(14.78383, 46.51244)",FALSE
1697,"c(14.78383, 46.51244)",TRUE
1232,"c(14.85376, 47.74673)",TRUE
1231,"c(14.70673, 46.51163)",TRUE
2589,"c(14.70083, 47.56056)",TRUE
2596,"c(14.70141, 47.54367)",TRUE
978,"c(14.70833, 47.625)",FALSE
896,"c(14.95833, 47.875)",TRUE
1701,"c(14.85376, 47.74673)",FALSE
987,"c(14.625, 47.675)",TRUE
986,"c(14.625, 47.675)",TRUE
995,"c(14.625, 47.675)",TRUE
991,"c(14.625, 47.675)",TRUE
972,"c(14.625, 47.625)",TRUE
322,"c(14.625, 47.625)",TRUE
1080,"c(14.625, 47.825)",TRUE
1000,"c(14.625, 47.625)",TRUE
2559,"c(14.64141, 47.58412)",TRUE
290,"c(14.64141, 47.58412)",FALSE
998,"c(14.625, 47.625)",TRUE
981,"c(14.625, 47.525)",TRUE
2563,"c(14.5521, 47.57155)",FALSE
295,"c(14.5521, 47.57155)",FALSE
2564,"c(14.55372, 47.56097)",FALSE
2560,"c(14.55834, 47.56197)",FALSE
285,"c(14.55834, 47.56197)",TRUE
982,"c(14.54167, 47.675)",FALSE
976,"c(14.54167, 47.675)",TRUE
1027,"c(14.54167, 47.675)",TRUE
967,"c(14.54167, 47.575)",TRUE
1081,"c(14.54167, 47.825)",TRUE
990,"c(14.625, 47.675)",TRUE
299,"c(14.625, 47.675)",TRUE
1229,"c(14.59954, 47.82558)",TRUE
199,"c(14.59954, 47.82558)",FALSE
2594,"c(14.68079, 47.58061)",TRUE
2565,"c(14.68324, 47.61025)",TRUE
2595,"c(14.68299, 47.5805)",FALSE
269,"c(14.69745, 47.55202)",TRUE
2588,"c(14.6983, 47.56043)",TRUE
2528,"c(14.69745, 47.55202)",FALSE
2597,"c(14.68936, 47.54907)",TRUE
2578,"c(14.6552, 47.53277)",TRUE
2598,"c(14.64392, 47.5453)",TRUE
2593,"c(14.66586, 47.62045)",TRUE
3512,"c(17.61581, 44.28066)",TRUE
19545,"c(14.65672, 45.41417)",TRUE
19543,"c(14.592681, 45.479401)",FALSE
19541,"c(14.650217, 45.404616)",FALSE
19544,"c(14.592681, 45.479401)",TRUE
19491,"c(14.64782, 45.4436)",FALSE
19542,"c(14.650217, 45.404616)",TRUE
19516,"c(14.979773, 44.793592)",FALSE
19518,"c(14.979773, 44.793592)",TRUE
19509,"c(14.97728, 44.78561)",TRUE
19548,"c(14.944139, 45.221954)",TRUE
19549,"c(14.944139, 45.221954)",TRUE
19520,"c(14.942265, 45.224733)",TRUE
19503,"c(14.97728, 44.78561)",TRUE
19420,"c(14.97287, 45.2221)",TRUE
19505,"c(14.97728, 44.78561)",TRUE
19511,"c(14.97728, 44.78561)",TRUE
19508,"c(14.97728, 44.78561)",TRUE
32915,"c(2.853829, 45.6894)",TRUE
34694,"c(6.987529, 46.3455)",TRUE
25430,"c(6.75303, 46.30915)",TRUE
34659,"c(6.985729, 46.4139)",TRUE
25442,"c(6.74358, 46.19237)",TRUE
31352,"c(6.029029, 45.0126)",TRUE
31331,"c(6.044329, 44.8434)",TRUE
34674,"c(7.153129, 46.4508)",TRUE
34730,"c(7.162129, 46.4904)",TRUE
34668,"c(7.145929, 46.4076)",TRUE
34739,"c(7.149529, 46.3392)",TRUE
27742,"c(5.983129, 46.395)",TRUE
29041,"c(6.641929, 45.4167)",TRUE
34724,"c(7.162129, 46.5147)",TRUE
34740,"c(7.178329, 46.4652)",TRUE
34737,"c(7.183729, 46.4535)",TRUE
25446,"c(6.48689, 46.22911)",TRUE
25447,"c(6.55439, 46.26266)",TRUE
31296,"c(6.006529, 45.0333)",TRUE
34540,"c(6.079429, 46.449)",TRUE
29057,"c(6.730129, 45.3825)",TRUE
34603,"c(7.037029, 46.4283)",TRUE
29037,"c(6.707629, 45.3924)",TRUE
34670,"c(7.079329, 46.2456)",TRUE
34717,"c(7.079329, 46.44)",TRUE
34698,"c(7.100929, 46.2654)",TRUE
34562,"c(7.100929, 46.2816)",TRUE
34666,"c(7.193629, 46.53)",TRUE
35282,"c(11.123743, 47.524122)",TRUE
35347,"c(11.123743, 47.524122)",TRUE
35256,"c(11.123743, 47.524122)",TRUE
35217,"c(11.123743, 47.524122)",TRUE
35245,"c(11.123743, 47.524122)",FALSE
35274,"c(11.123743, 47.524122)",FALSE
35266,"c(11.123743, 47.524122)",FALSE
35267,"c(11.123743, 47.524122)",TRUE
39200,"c(11.102462, 47.416002)",TRUE
39210,"c(11.08141, 47.555853)",FALSE
36020,"c(11.123271, 47.449272)",TRUE
39208,"c(11.121927, 47.587299)",TRUE
35703,"c(11.123748, 47.424134)",FALSE
35216,"c(11.123743, 47.524122)",TRUE
35238,"c(11.123743, 47.524122)",TRUE
35432,"c(11.123743, 47.524122)",TRUE
35326,"c(11.123743, 47.524122)",TRUE
35367,"c(11.123743, 47.524122)",TRUE
35733,"c(11.123743, 47.57412)",FALSE
35272,"c(11.123743, 47.524122)",TRUE
35031,"c(10.87369, 47.43503)",TRUE
35060,"c(10.87369, 47.43503)",FALSE
35089,"c(10.87369, 47.43503)",TRUE
35071,"c(10.87369, 47.43503)",TRUE
35021,"c(10.87369, 47.43503)",TRUE
35019,"c(10.87369, 47.43503)",TRUE
35022,"c(10.87369, 47.43503)",TRUE
35046,"c(10.87369, 47.43503)",TRUE
35054,"c(10.87369, 47.43503)",FALSE
35061,"c(10.87369, 47.43503)",TRUE
35055,"c(10.87369, 47.43503)",TRUE
35050,"c(10.87369, 47.43503)",TRUE
35044,"c(10.87369, 47.43503)",TRUE
35018,"c(10.87369, 47.43503)",FALSE
35029,"c(10.87369, 47.43503)",TRUE
35032,"c(10.87369, 47.43503)",TRUE
35040,"c(10.87369, 47.43503)",TRUE
35039,"c(10.87369, 47.43503)",TRUE
35053,"c(10.87369, 47.43503)",TRUE
35033,"c(10.87369, 47.43503)",FALSE
35016,"c(10.87369, 47.43503)",TRUE
35078,"c(10.87369, 47.43503)",TRUE
35748,"c(11.04042, 47.57412)",TRUE
35792,"c(11.040424, 47.47413)",FALSE
35808,"c(11.040424, 47.47413)",TRUE
35709,"c(11.040424, 47.47413)",FALSE
35833,"c(11.04042, 47.524122)",TRUE
35793,"c(11.040424, 47.47413)",FALSE
35820,"c(11.04042, 47.524122)",TRUE
39206,"c(11.06235, 47.451813)",TRUE
35754,"c(10.957103, 47.47413)",TRUE
35023,"c(10.87369, 47.43503)",TRUE
35059,"c(10.87369, 47.43503)",TRUE
35052,"c(10.87369, 47.43503)",TRUE
35077,"c(10.87369, 47.43503)",TRUE
35020,"c(10.87369, 47.43503)",TRUE
35047,"c(10.87369, 47.43503)",TRUE
35028,"c(10.87369, 47.43503)",TRUE
35516,"c(12.929321, 47.548727)",TRUE
35515,"c(12.929321, 47.548727)",TRUE
35156,"c(12.546862, 47.712536)",TRUE
35165,"c(12.546862, 47.712536)",TRUE
35170,"c(12.546862, 47.712536)",TRUE
35180,"c(12.546862, 47.712536)",TRUE
35201,"c(12.546862, 47.712536)",TRUE
35168,"c(12.546862, 47.712536)",TRUE
35173,"c(12.546862, 47.712536)",TRUE
35174,"c(12.546862, 47.712536)",TRUE
35197,"c(12.546862, 47.712536)",TRUE
35161,"c(12.546862, 47.712536)",TRUE
35162,"c(12.546862, 47.712536)",TRUE
35191,"c(12.546862, 47.712536)",TRUE
35175,"c(12.546862, 47.712536)",TRUE
35189,"c(12.546862, 47.712536)",TRUE
35202,"c(12.546862, 47.712536)",TRUE
35194,"c(12.546862, 47.712536)",TRUE
41996,"c(10.397098, 45.804738)",FALSE
41999,"c(10.341272, 45.953646)",TRUE
42239,"c(12.502592, 46.582643)",FALSE
42237,"c(12.470283, 46.59231)",TRUE
41868,"c(12.484858, 46.623583)",TRUE
42236,"c(12.463472, 46.575911)",TRUE
41835,"c(12.589561, 46.446465)",TRUE
42248,"c(12.57153, 46.571911)",TRUE
42226,"c(12.602581, 46.556672)",FALSE
42214,"c(12.611748, 46.630426)",TRUE
42225,"c(12.599249, 46.5388)",TRUE
42250,"c(12.559063, 46.572544)",TRUE
42139,"c(11.864322, 46.350986)",TRUE
42172,"c(11.487973, 45.829706)",TRUE
42204,"c(11.717997, 46.098645)",TRUE
42170,"c(11.504074, 45.79432)",TRUE
42207,"c(12.293693, 46.396236)",TRUE
42182,"c(12.071693, 46.239785)",TRUE
42231,"c(12.613043, 46.639718)",TRUE
41847,"c(13.503822, 46.541235)",TRUE
